Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
#NAME?,3720.6,3674.18,3745.6,3645.66
1/2/19,3884.98,3720.6,3899.58,3708.67
1/3/19,3794.92,3884.98,3916.72,3762.38
1/4/19,3833.53,3794.92,3849.67,3731.55
1/6/19,4031.29,4060.4,4077.21,4022.66
1/7/19,4005.34,4060.4,4077.21,3969.85
1/8/19,4000.42,4005.34,4109.33,3951.74
1/9/19,4003.99,4000.42,4041.45,3966.42
1/10/19,3630.86,4003.99,4034.82,3574.62
1/11/19,3649.22,3630.86,3695.22,3587.52
1/13/19,3516.03,3518.43,3532.73,3486.56
1/14/19,3663.59,3518.43,3709.91,3486.56
1/15/19,3568.48,3663.59,3685.11,3549.63
1/16/19,3603.49,3568.48,3667.83,3567.96
1/17/19,3624.82,3603.48,3658.59,3545.44
1/18/19,3612.39,3624.84,3649.82,3579.52
1/20/19,3538.45,3520.82,3545.17,3514.81
1/21/19,3521.04,3520.82,3568.34,3507.13
1/22/19,3574.52,3521.04,3611.22,3436.4
1/23/19,3544.51,3574.52,3612.37,3522.22
1/24/19,3570.93,3544.51,3595.2,3529.18
1/25/19,3558.51,3570.93,3578.1,3512.82
1/27/19,3541.27,3549.2,3552.36,3539.09
1/28/19,3417.04,3549.2,3552.36,3375.7
1/29/19,3401.14,3417.04,3440.72,3343.77
1/30/19,3432.64,3401.14,3458.86,3372.96
1/31/19,3417.04,3432.64,3472.07,3396.17
2/1/19,3448.51,3417.04,3456.01,3374.67
2/3/19,3395.68,3418.08,3430,3386.67
2/4/19,3417.03,3418.08,3435.91,3386.67
2/5/19,3422.6,3417.28,3430.34,3398.45
2/6/19,3366.32,3422.6,3443.33,3338.58
2/7/19,3358.91,3366.32,3381.62,3353
2/8/19,3594.91,3358.71,3707.33,3343.27
2/10/19,3605.5,3606.09,3612.76,3600.03
2/11/19,3591.59,3606.09,3653.65,3578.58
2/12/19,3576.31,3591.59,3618.2,3550.83
2/13/19,3571.42,3576.31,3628.96,3561.4
2/14/19,3570.02,3571.63,3589.52,3537.09
2/15/19,3564.79,3569.94,3614.87,3547.14
2/17/19,3585.56,3574.98,3603.46,3565.6
2/18/19,3852.25,3574.98,3916.08,3565.6
2/19/19,3887.89,3852.25,3970.22,3830.26
2/20/19,3912.98,3887.89,3962.16,3865.94
2/21/19,3897.72,3913.2,3986.41,3868.03
2/22/19,3941.75,3897.72,3955.89,3885.69
2/24/19,3787.61,3761,3805.67,3753.38
2/25/19,3805.67,3761,3859.93,3728.84
2/26/19,3790.19,3805.67,3830.6,3765.89
2/27/19,3749.38,3790.19,3823.43,3659.76
2/28/19,3802.53,3749.17,3884,3742.36
3/1/19,3828.22,3802.53,3843.26,3783.01
3/3/19,3788.98,3792.1,3795.11,3786.61
3/4/19,3699.76,3792.1,3805.17,3671.32
3/5/19,3833.97,3700.02,3871.33,3682.26
3/6/19,3845.71,3833.97,3892.22,3810.21
3/7/19,3871.42,3845.95,3889.55,3830.24
3/8/19,3868.84,3871.42,3910.41,3848.8
3/10/19,3896.7,3885.47,3898.3,3879.36
3/11/19,3847.91,3885.47,3912.65,3816.5
3/12/19,3865.41,3848.21,3876.23,3798.84
3/13/19,3852.32,3865.41,3872.27,3826.48
3/14/19,3851.57,3852.32,3901.1,3787.91
3/15/19,3897.41,3851.16,3908.28,3846.2
3/17/19,3975.48,3964.18,3975.74,3964.01
3/18/19,3971.19,3964.18,4015.31,3935.17
3/19/19,3991.47,3971.19,4009.6,3949.84
3/20/19,4009.47,3991.47,4018.69,3964.37
3/21/19,3973.24,4009.47,4056.22,3920.1
3/22/19,3977.74,3973.24,3999.34,3960.7
3/24/19,3958.02,3966.46,3967.97,3944.94
3/25/19,3887.56,3966.46,3978.79,3859.15
3/26/19,3912.6,3887.56,3922.02,3881.27
3/27/19,4008.98,3912.6,4032.44,3908.46
3/28/19,4010.76,4008.98,4036.61,3993.97
3/29/19,4072.16,4010.76,4100.99,3999.8
