Dates,HIST_CALL_IMP_VOL,HIST_PUT_IMP_VOL
1/13/20,55.14,55.14
1/14/20,55.14,55.14
1/15/20,55.14,55.14
1/16/20,55.14,55.14
1/17/20,55.14,55.14
1/20/20,55.14,55.14
1/21/20,55.14,55.14
1/22/20,55.14,55.14
1/23/20,55.14,55.14
1/24/20,55.14,55.14
1/27/20,47.63,55.14
1/28/20,61.46,55.14
1/29/20,61.46,55.14
1/30/20,61.46,55.14
1/31/20,61.46,55.14
2/3/20,61.46,55.14
2/4/20,61.46,55.14
2/5/20,61.46,55.14
2/6/20,61.46,55.14
2/7/20,61.46,55.14
2/10/20,61.46,55.14
2/11/20,61.55,49.68
2/12/20,61.55,49.68
2/13/20,62.51,49.68
2/14/20,62.51,49.68
2/17/20,62.51,49.68
2/18/20,67.98,49.68
2/19/20,67.98,49.68
2/20/20,63.54,55.59
2/21/20,63.54,55.59
2/24/20,47.4,47.4
2/25/20,47.4,47.4
2/26/20,75.27,65.86
2/27/20,75.27,65.86
2/28/20,75.27,65.86
3/2/20,75.27,65.86
3/3/20,75.27,65.86
3/4/20,75.27,65.86
3/5/20,75.27,65.86
3/6/20,75.27,65.86
3/9/20,75.27,65.86
3/10/20,75.27,65.86
3/11/20,75.27,65.86
3/12/20,75.27,65.86
3/13/20,75.27,65.86
3/16/20,75.27,65.86
3/17/20,75.27,65.86
3/18/20,75.27,65.86
3/19/20,75.27,65.86
3/20/20,75.27,65.86
3/23/20,146.47,146.47
3/24/20,146.47,146.47
3/25/20,146.47,146.47
3/26/20,146.47,146.47
3/27/20,146.47,146.47
3/30/20,146.47,146.47
3/31/20,146.47,146.47
4/1/20,146.47,146.47
4/2/20,146.47,146.47
4/3/20,93.95,93.95
4/6/20,93.95,93.95
4/7/20,93.95,93.95
4/8/20,93.95,93.95
4/9/20,93.95,93.95
4/10/20,93.95,93.95
4/13/20,93.95,93.95
4/14/20,79.07,68.08
4/15/20,79.07,68.08
4/16/20,79.07,68.08
4/17/20,79.07,68.08
4/20/20,79.07,68.08
4/21/20,79.07,71.17
4/22/20,79.07,71.17
4/23/20,79.07,71.17
4/24/20,79.07,71.17
4/27/20,79.07,71.17
4/28/20,79.07,71.17
4/29/20,79.07,71.17
4/30/20,79.07,71.17
5/1/20,79.07,71.17
5/4/20,79.07,71.17
5/5/20,79.07,71.17
5/6/20,79.07,71.17
5/7/20,79.77,83.88
5/8/20,79.77,79.55
5/11/20,79.77,79.55
5/12/20,79.77,79.55
5/13/20,79.77,79.55
5/14/20,79.77,79.55
5/15/20,79.77,79.55
5/18/20,79.77,79.55
5/19/20,73.42,76.55
5/20/20,73.42,76.55
5/21/20,73.42,76.55
5/22/20,73.42,77.47
5/25/20,73.42,77.47
5/26/20,73.42,77.47
5/27/20,73.42,77.47
5/28/20,73.42,77.47
5/29/20,73.42,77.47
6/1/20,73.42,77.47
6/2/20,73.42,77.47
6/3/20,73.42,77.47
6/4/20,73.42,77.47
6/5/20,59.77,59.77
6/8/20,59.77,59.77
6/9/20,59.77,59.77
6/10/20,59.77,59.77
6/11/20,64.53,64.53
6/12/20,64.53,64.53
6/15/20,64.53,43.33
6/16/20,64.53,43.33
6/17/20,64.53,43.33
6/18/20,64.53,43.33
6/19/20,51.59,48.67
6/22/20,37.81,48.67
6/23/20,49.89,48.67
6/24/20,49.89,48.67
6/25/20,49.89,48.67
6/26/20,49.89,48.67
6/29/20,51.12,51.12
6/30/20,51.12,51.12
7/1/20,51.12,51.12
7/2/20,51.12,44.98
7/3/20,51.12,44.98
7/6/20,51.12,44.98
7/7/20,51.12,44.98
7/8/20,52.07,51.02
7/9/20,52.07,51.02
7/10/20,52.07,51.02
7/13/20,52.07,51.02
7/14/20,52.07,51.02
7/15/20,52.07,51.02
7/16/20,52.07,51.02
7/17/20,52.07,51.02
7/20/20,52.07,51.02
7/21/20,41.9,42.7
7/22/20,41.9,42.7
7/23/20,41.9,42.7
7/24/20,41.9,42.7
7/27/20,41.9,42.7
7/28/20,41.9,42.7
7/29/20,41.9,42.7
7/30/20,41.9,42.7
7/31/20,41.9,42.7
8/3/20,41.9,42.7
8/4/20,60.95,63.53
8/5/20,60.95,63.53
8/6/20,60.95,63.53
8/7/20,60.95,63.53
8/10/20,55.06,53.65
8/11/20,55.06,53.65
8/12/20,55.06,53.65
8/13/20,55.06,53.65
8/14/20,55.06,53.65
8/17/20,55.06,53.65
8/18/20,63.54,53.65
8/19/20,63.54,53.65
8/20/20,63.54,53.65
8/21/20,63.54,53.65
8/24/20,63.54,53.65
8/25/20,32.18,53.65
8/26/20,36.81,42.7
8/27/20,33.9,46.62
8/28/20,33.9,46.62
8/31/20,33.9,46.62
9/1/20,33.9,46.62
9/2/20,33.9,46.62
9/3/20,33.9,46.62
9/4/20,33.9,46.62
9/7/20,33.9,46.62
9/8/20,33.9,46.62
9/9/20,33.9,46.62
9/10/20,33.9,46.62
9/11/20,33.9,46.62
9/14/20,33.9,46.62
9/15/20,33.9,46.62
9/16/20,33.9,46.62
9/17/20,33.9,46.62
9/18/20,33.9,46.62
9/21/20,33.9,46.62
9/22/20,35.55,36.87
9/23/20,35.55,36.87
9/24/20,35.55,36.87
9/25/20,35.55,36.87
9/28/20,48.92,36.87
9/29/20,48.92,36.87
9/30/20,48.92,36.87
10/1/20,48.92,41.56
10/2/20,48.92,41.56
10/5/20,47.92,41.56
10/6/20,47.06,44.29
10/7/20,47.06,44.29
10/8/20,47.06,44.29
10/9/20,47.06,44.29
10/12/20,41.24,42.71
10/13/20,41.24,42.71
10/14/20,41.24,42.71
10/15/20,41.24,42.71
10/16/20,41.55,42.71
10/19/20,41.55,42.71
10/20/20,41.55,42.71
10/21/20,41.55,42.71
10/22/20,41.55,42.71
10/23/20,41.55,42.71
10/26/20,41.55,42.71
10/27/20,41.55,42.71
10/28/20,41.55,42.71
10/29/20,44.34,42.57
10/30/20,44.34,42.57
11/2/20,44.34,42.57
11/3/20,44.34,42.57
11/4/20,60.54,60.54
11/5/20,60.54,60.54
11/6/20,60.54,60.54
11/9/20,60.54,60.54
11/10/20,60.54,60.54
11/11/20,60.54,60.54
11/12/20,60.54,60.54
11/13/20,60.54,60.54
11/16/20,60.54,60.54
11/17/20,60.54,60.54
11/18/20,60.54,60.54
11/19/20,60.54,60.54
11/20/20,60.54,60.54
11/23/20,60.54,60.54
11/24/20,60.54,60.54
11/25/20,60.54,60.54
11/26/20,60.54,55.37
11/27/20,60.54,55.37
11/30/20,60.54,55.37
12/1/20,60.54,55.37
12/2/20,60.54,55.37
12/3/20,60.54,55.37
12/4/20,73.54,73.54
12/7/20,73.54,73.54
12/8/20,73.54,73.54
12/9/20,73.54,73.54
12/10/20,77.01,73.54
12/11/20,77.01,73.54
12/14/20,77.01,73.54
12/15/20,77.01,73.54
12/16/20,77.01,73.54
12/17/20,77.01,73.54
12/18/20,77.01,73.54
12/21/20,77.01,29.76
12/22/20,66.29,74.22
12/23/20,66.29,71.11
12/24/20,66.29,71.11
12/25/20,66.29,71.11
12/28/20,91.03,90.72
12/29/20,91.03,90.72
12/30/20,91.03,90.72
12/31/20,105.05,105.51
1/1/21,105.05,105.51
